city,brand,model,type,cc,color,km,year,price
Madrid,YAMAHA,Tracer 700,Trail,689,,,2017,7849
Madrid,HONDA,CB 650F,Naked,649,,,2017,7899
Madrid,DUCATI,MONSTER 696+ Art ABS,Naked,696,OPORTUNIDAD..!!!!,25000,2014,6399
Barcelona,KYMCO,Super Dink 125i ABS,Scooter 125cc,125,dorado,7100,2016,2800
Madrid,HARLEY DAVIDSON,Sportster 883,Custom,883,Rojo,21500,2007,6800
Sevilla,HONDA,CB 600F HORNET,Naked,599,Negra,24369,2008,3650
Murcia,KTM,125,Naked,125,Naranja,37000,2013,2500
Barcelona,MACBOR,XC 510 Racing,Ciclomotor,49,AZUL,1000,2011,750
Malaga,SYM,Symphony ST 125,Scooter 125cc,124,Blanca,6500,2015,1700
Cadiz,HONDA,VARADERO XL1000V,Trail,996,plata,57567,2005,4500
Zamora,KYMCO,Grand Dink 125,Scooter 125cc,125,negro,7850,2009,1300
Tarragona,KTM,EXC 250 F,Enduro,249,,3500,2016,6200
Alicante,HONDA,VT 750 S,Custom,745,NEGRO,4700,2013,5250
Barcelona,HONDA,CB 1000R,Naked,998,Negra,41000,2010,6700
Madrid,YAMAHA,YBR 125 Clasic SP,Custom,124,negro,9500,2008,1500
Barcelona,YAMAHA,WR 250 F,Enduro,249,AZUL,5000,2004,2300
Barcelona,HONDA,CBF 600N C-ABS,Naked,599,negra,26000,2012,4500
Cadiz,HONDA,CBF 250,Naked,249,Gris plata,20000,2005,1200
Leon,SUZUKI,GSR 600,Naked,599,,33000,2006,2800
Barcelona,HONDA,SW T400,Scooters +125cc,399,Negro,55000,2013,3900
A Coruna,HONDA,CBR 600 RR,Sport,599,Blanca y Negra,37600,2004,3000
Burgos,BETA,RR 300 ENDURO 2T,Enduro,293,,1200,2015,6000
Barcelona,BMW,F 700 GS,Trail,798,,12300,2015,7800
Valencia,KAWASAKI,J 300,Scooters +125cc,299,GRIS PLATA,3271,2015,3700
Barcelona,HONDA,SH125i,Scooter 125cc,125,"azul, blanco, gris, negro, etc.",,2017,3239
Valencia,HARLEY DAVIDSON,CVO Street Glide,Custom,1803,,38000,2012,28000
Alicante,KYMCO,Xciting 500 R,Scooters +125cc,498,blanca,24000,2008,2500
Zaragoza,BMW,R nineT,Naked,1170,GRANATE/NEGRO,,2016,17500
Avila,KAWASAKI,Z 750,Naked,748,Naranja,25000,2008,4000
Granada,HONDA,VFR 1200 F,Turismo,1237,gris,31000,2010,9300
Zaragoza,BMW,R 1200 GS Adventure,Trail,1170,BLANCO,66000,2012,13200
Barcelona,HONDA,CBF 600S,Turismo,600,PLATA,22000,2006,3390
Barcelona,KYMCO,Agility CITY 125,Scooter 125cc,125,"negro, blanco, azul, rojo",,2017,2199
Madrid,BMW,R 1200 R,Naked,1170,Beige,15500,2013,10500
Murcia,YAMAHA,VITY 125,Scooter 125cc,125,,7500,2010,1290
Granada,HARLEY DAVIDSON,Softail Fat Boy Special,Custom,1584,negro mate,30000,2013,17500
Barcelona,DUCATI,Scrambler,Naked,803,NEGRO MATE,4662,2016,8799
Valencia,HARLEY DAVIDSON,Sportster 883,Custom,883,BURDEOS,8500,2012,8500
Barcelona,TRIUMPH,BONNEVILLE T100,Naked,865,NEGRO/ROJO,4000,2013,7900
Madrid,APRILIA,RS4 125,Sport,124,TODOS,,2017,4974
Madrid,KYMCO,Agility CITY 125,Scooter 125cc,125,TODOS,,2017,2199
Barcelona,SUZUKI,Bandit 650 S,Turismo,656,LIMA,45100,2005,3199
Madrid,KYMCO,Agility CITY 125,Scooter 125cc,125,TODOS,,2017,2199
Barcelona,SYM,MIO 100,Scooter 125cc,101,BLANCA AZUL,34000,2007,690
Huelva,VICTORY,VISION TOUR,Turismo,1731,NEGRO,2800,2017,19500
Barcelona,KYMCO,Super Dink 300I ABS,Scooters +125cc,299,GRIS,7936,2012,3249
Valencia,YAMAHA,Majesty 125,Scooter 125cc,125,AZUL METALIZADO,43002,2006,1250
Barcelona,SUZUKI,Sixteen 125,Scooter 125cc,124,GRIS,30582,2009,1790
Barcelona,KYMCO,Venox 250,Custom,249,NEGRA,70000,2005,999
Valencia,HONDA,VF 750 C Magna,Custom,748,Blanco perla,51485,1994,2999
Barcelona,YAMAHA,T-Max 500,Scooters +125cc,499,rojo,49000,2003,3145
Guipuzcoa,PIAGGIO,MP3 300 Yourban LT Sport,Scooters +125cc,278,gris titanio mate,1,2016,5500
Guipuzcoa,VESPA,LX 50 2T,Scooters 50cc,49,AZIL MIDNIGHT,14906,2007,1500
Barcelona,YAMAHA,X-MAX 125,Scooter 125cc,124,blanca,7600,2015,3100
Valencia,KYMCO,Super Dink 300i,Scooters +125cc,300,negro metalizado,40113,2011,2350
Las Palmas,TRIUMPH,Thruxton EFI,Naked,865,,13146,2013,7400
Madrid,KYMCO,Super Dink 350i,Scooters +125cc,349,TODOS,,2017,4999
Madrid,GILERA,Nexus 125,Scooter 125cc,124,BLANCO,14000,2012,2400
Guipuzcoa,SUZUKI,GS 500F,Turismo,487,AZUL/BLANCO,39000,2005,2395
Valencia,SUZUKI,Inazuma 250,Naked,248,negro,6482,2014,2895
Caceres,DUCATI,749 749,Sport,748,NEGRO MATE DARK,8933,2009,7690
Madrid,APRILIA,Scarabeo 300 S,Scooters +125cc,278,Blanco,9000,2011,2200
Barcelona,HONDA,CBF 250,Naked,249,NEGRA,,2007,1390
Madrid,TRIUMPH,Bonneville,Naked,900,Negro,6327,2015,7990
Valencia,TRIUMPH,BONNEVILLE T100,Naked,865,NEGRO Y ROJO,4400,2013,7900
Malaga,SUZUKI,GSX R600,Sport,599,blanca-azul,34690,2008,4950
Las Palmas,HONDA,VT 1100 C2 Shadow Sabre,Custom,1099,,4469,2001,4995
Las Palmas,HARLEY DAVIDSON,Sportster 1200,Custom,1202,,5500,2016,11900
Guipuzcoa,BMW,K 1200 RS,Sport,1171,ROJO PIAMONTE MET. - 911,52000,2002,5495
Madrid,SYM,MAXSYM 400i ABS,Scooters +125cc,393,TODOS,,2017,5899
Barcelona,SUZUKI,BURGMAN 150,Scooters +125cc,150,AZUL,50000,2006,990
Alicante,HONDA,CB 1000R,Naked,998,Blanco,18400,2010,6199
Barcelona,SYM,Symphony 125 SR,Scooter 125cc,125,PLATA,4000,2012,1500
Barcelona,SUZUKI,BURGMAN 200,Scooters +125cc,200,Negra,14500,2008,2199
Valencia,HARLEY DAVIDSON,VRSC V-Rod 10º Aniversario,Custom,1250,,66000,2012,12500
Barcelona,YAMAHA,YZF R1,Sport,998,NEGRO,50674,2006,5599
Barcelona,YAMAHA,Teo's 125,Scooter 125cc,125,GRANATE,40000,2001,890
Valencia,SUZUKI,BURGMAN 400 A ABS,Scooters +125cc,400,blanco,35394,2012,4150
Valencia,KAWASAKI,J 125 ABS,Scooter 125cc,124,negro,254,2016,3749
Barcelona,PIAGGIO,LIBERTY 50,Scooters 50cc,49,PLATA,46400,2005,750
Malaga,BMW,S 1000 R,Sport,999,Blanco,14558,2015,12400
Valencia,BMW,R 1150 R,Naked,1130,negra,62671,2002,3599
Barcelona,PIAGGIO,LIBERTY 124 4T,Scooter 125cc,124,ROJA,38000,2001,890
Madrid,SYM,Symphony ST 125,Scooter 125cc,124,TODOS,,2017,2499
La Rioja,HONDA,CB 250 TWO FIFTY,Turismo,234,NEGRO MATE,20000,1998,2400
Valencia,HARLEY DAVIDSON,Sportster XL 1200C,Custom,1202,blanco,59005,2007,6999
Barcelona,KAWASAKI,J125 Special Edition,Scooter 125cc,124,,5500,2016,3200
Valencia,HONDA,Lead 100,Scooter 125cc,100,GRIS,18451,2006,1099
Valencia,HONDA,PAN-EUROPEAN ST 1300,Turismo,1261,GRIS,21578,2008,9999
Madrid,SYM,Symphony ST 125,Scooter 125cc,124,TODOS,,2016,1999
Valencia,SUZUKI,BURGMAN 125,Scooter 125cc,124,AZUL,31904,2007,1999
Barcelona,YAMAHA,X MAX 250,Scooters +125cc,249,,43000,2006,1999
Valencia,SUZUKI,Intruder C800,Custom,800,negra,56925,2008,4999
Valencia,TRIUMPH,STREET TRIPLE,Naked,675,NEGRO,11142,2015,6799
Madrid,SYM,Jet 4 125,Scooter 125cc,124,TODOS,,2017,1699
Madrid,SYM,Fiddle III 125,Scooter 125cc,125,TODOS,,2017,2399
Granada,YAMAHA,Neo's 50,Scooters 50cc,49,BLANCO/NEGRO,,2016,1999
Navarra,HONDA,CBF 600N,Naked,599,GRANATE,9000,2006,3450
Malaga,HONDA,Shadow 600,Custom,600,burdeos,14000,1992,2799
Madrid,SYM,Fiddle III 125,Scooter 125cc,125,TODOS,,2016,1799
Madrid,HONDA,CBR 600 RR,Sport,599,Azul/blanco,6300,2008,6000
Navarra,BMW,R 1200 RT,Turismo,1200,Bronce,33600,2011,12490
Valencia,BMW,C 600 Sport,Scooters +125cc,647,negro,2900,2014,7900
Madrid,HONDA,CBR 600F ABS,Sport,599,blanca azul,20000,2012,5980
Castellon,TRIUMPH,TIGER Explorer 1200,Trail,1200,NEGRA,3363,2017,15800
Valencia,HARLEY DAVIDSON,Road King Classic,Turismo,1680,NEGRO,53200,2001,10500
Baleares,HONDA,CB 1100,Naked,1100,GRANATE,28000,2016,7500
Barcelona,YAMAHA,T-Max 500,Scooters +125cc,499,azul,29890,2003,3200
Madrid,KAWASAKI,Versys,Trail,649,NARANJA/GRIS/BLANCO,,2016,6990
Barcelona,SUZUKI,Bandit 650 S,Turismo,656,NEGRA,68000,2006,2390
Castellon,TRIUMPH,Thunderbird 1600,Custom,1599,NEGRA,10000,2013,9499
Girona,YAMAHA,FZ1 S FAZER,Naked,998,GRANATE,24000,2005,3900
Madrid,APRILIA,Compay 125 Custom,Scooter 125cc,124,,35328,2007,1299
Madrid,APRILIA,Arrecife 200,Scooters +125cc,200,,45459,2004,1399
Madrid,TRIUMPH,DAYTONA 675,Sport,675,,35469,2008,4699
Murcia,YAMAHA,X MAX 250,Scooters +125cc,249,gris metalizado,47800,2008,1800
Madrid,SUZUKI,V-Strom 650 XT ABS,Trail,645,TODOS,,2017,8999
Murcia,YAMAHA,XVS 1100 A Drag Star Classic,Custom,1063,,21763,2005,5000
Guipuzcoa,BMW,C 650 GT,Scooters +125cc,647,BRONCE PLATINO METALIZADO - N97,40000,2013,5995
Madrid,SUZUKI,GSX 650 F,Turismo,650,AZUL/BLANCO,64154,2009,3199
Madrid,SUZUKI,GS 500F,Turismo,487,,38170,2007,2399
Madrid,KAWASAKI,Ninja 650,Naked,649,TODOS,,2017,7249
Madrid,SUZUKI,BURGMAN 200,Scooters +125cc,200,BLANCO,13190,2013,2590
Madrid,KAWASAKI,Z 650,Naked,649,TODOS,,2017,6549
Madrid,KAWASAKI,Z 650,Naked,649,TODOS,,2017,6549
Barcelona,HONDA,CRF 250R,Cross,249,roja,,2008,2290
Madrid,PIAGGIO,X9 125,Scooter 125cc,124,GRIS,27673,2005,1290
Madrid,PIAGGIO,X8 125,Scooter 125cc,124,,45352,2004,1090
Valencia,KAWASAKI,J 300 ABS,Scooters +125cc,300,blanco mate,2075,2015,4399
Sevilla,YAMAHA,Tricity,Scooter 125cc,125,,6275,2015,2999
Madrid,KAWASAKI,Ninja 650,Naked,649,TODOS,,2017,7249
Castellon,DAELIM,Daystar 125 FI Black Plus,Custom,124,NEGRA/GRIS,438,2016,1999
Madrid,KYMCO,Super Dink 300i,Scooters +125cc,300,BLANCO,18418,2012,2799
Madrid,KAWASAKI,Vulcan S,Custom,649,TODOS,,2017,7399
Madrid,KAWASAKI,Ninja 650,Naked,649,TODOS,,2017,7449
Madrid,KAWASAKI,Z 1000,Naked,1043,TODOS,,2017,12775
Madrid,KAWASAKI,VERSYS 1000,Trail,1043,TODOS,,2017,12975
Madrid,KAWASAKI,VERSYS 1000,Trail,1043,TODOS,,2017,12975
Madrid,KAWASAKI,Vulcan S,Custom,649,TODOS,,2017,7399
Sevilla,YAMAHA,FZ6 S,Turismo,600,,42350,2005,2999
Madrid,KTM,950 Supermoto,Supermotard,942,,27348,2007,4800
Barcelona,SUZUKI,Hayabusa 1300,Sport,1340,nergra,1,2017,14499
Madrid,KAWASAKI,Z 1000,Naked,953,,37816,2009,4990
