city;brand;model;type;cc;color;km;year;price;url
Madrid;YAMAHA;T-Max 500 ABS;Scooters +125cc;499;REGALO GPS TOMTOM MODELO VIO;61500;2009;5799;http://motos.net/ocasion/yamaha/t__max_500_abs/2009-en-madrid-6439362.htm
Madrid;KYMCO;Venox 250i;Custom;249;negro;25000;2007;1799;http://motos.net/ocasion/kymco/venox_250i/2007-en-madrid-6438857.htm
Madrid;HONDA;Crossrunner VFR800X;Turismo;782;Burdeos;14000;2015;10999;http://motos.net/ocasion/honda/crossrunner_vfr800x/2015-en-madrid-6445508.htm
Barcelona;YAMAHA;MT-07;Naked;689;varios consultar;1;2016;6799;http://motos.net/ocasion/yamaha/mt__07/abs-2016-en-barcelona-6208597.htm
Madrid;HARLEY DAVIDSON;Sportster 1200 Low;Custom;1200;REGALO GPS TOMTOM MODELO VIO;54000;2007;6499;http://motos.net/ocasion/harley_davidson/sportster_1200_low/2007-en-madrid-6359817.htm
Barcelona;YAMAHA;MT 09;Trail;847;varios;1;2016;11099;http://motos.net/ocasion/yamaha/mt_09/tracer-2016-en-barcelona-6299612.htm
Madrid;BMW;R nineT;Naked;1170;negro;4500;2015;13499;http://motos.net/ocasion/bmw/r_ninet/2015-en-madrid-6373075.htm
Barcelona;SYM;Symphony 125 SR;Scooter 125cc;125;varios;1;2017;2299;http://motos.net/ocasion/sym/symphony_125_sr/2017-en-barcelona-6379312.htm
Madrid;BMW;R 1200 GS Adventure;Trail;1170;BLANCO;18826;2014;15999;http://motos.net/ocasion/bmw/r_1200_gs_adventure/2014-en-madrid-6425802.htm
Barcelona;PIAGGIO;Medley;Scooter 125cc;124;azul, negro, rojo, azul, gris;1;2017;2999;http://motos.net/ocasion/piaggio/medley/125-2017-en-barcelona-6350392.htm
Madrid;BMW;K 1200 LT;Turismo;1171;REGALO GPS TOMTOM MODELO VIO;32000;2005;10299;http://motos.net/ocasion/bmw/k_1200_lt/2005-en-madrid-6415336.htm
Barcelona;MOTO GUZZI;V7 II;Naked;744;varios consultar;1;2017;7999;http://motos.net/ocasion/moto_guzzi/v7_ii/special-2017-en-barcelona-6458175.htm
Valencia;YAMAHA;X-CITY 125;Scooter 125cc;125;gris;3760;2016;2900;http://motos.net/ocasion/yamaha/x__city_125/2016-en-valencia-6433758.htm
Guipuzcoa;SUZUKI;GSX 750 F;Sport;750;;70700;1993;950;http://motos.net/ocasion/suzuki/gsx_750_f/1993-en-guipuzcoa-6078847.htm
